arm,direction,model_family,metric,full_reference_value,n_repeats_observed,subsample_median,subsampling_interval_lower,subsampling_interval_upper,subsample_minimum,subsample_maximum,oriented_delta_median,oriented_delta_interval_lower,oriented_delta_interval_upper,oriented_delta_minimum,oriented_delta_maximum,reference_position,interpretation_sentence,natural_delta_median
mugla_as_source,mugla_2021_to_manavgat_2021,thermal,pr_auc,0.0287387742102901,20,0.02847510186761125,0.027737962308296955,0.02896648247666632,0.0277133556952816,0.0289983130153548,-0.0002636723426788,-0.001000811901993045,0.00022770826637611992,-0.0010254185150084,0.0002595388050646,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.0002636723426788501
mugla_as_source,mugla_2021_to_manavgat_2021,thermal,brier_score,0.1771174428060858,20,0.17886905699842864,0.16959015885371045,0.18804601238322932,0.1693190386468931,0.1904066735930789,-0.00175161419234275,-0.010928569577143436,0.007527283952375282,-0.013289230786993,0.0077984041591926,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.0017516141923428485
mugla_as_source,mugla_2021_to_bejis_2022,baseline,roc_auc,0.4507383379572875,20,0.50447775662946,0.4681395598103103,0.5558771565907478,0.4647374669333505,0.5563173107942447,0.053739418672172454,0.01740122185302271,0.10513881863346017,0.0139991289760629,0.1055789728369572,below_subsampling_interval,The full-population point estimate differs from the range observed across the deterministic size-matched subsets.,0.05373941867217252
mugla_as_source,mugla_2021_to_bejis_2022,baseline,pr_auc,0.0641658658878618,20,0.0709043684464231,0.06578241394354746,0.07824599694337342,0.0654347095709702,0.0787718232575344,0.006738502558561199,0.0016165480556856024,0.014080131055511617,0.0012688436831083,0.0146059573696726,below_subsampling_interval,The full-population point estimate differs from the range observed across the deterministic size-matched subsets.,0.006738502558561302
mugla_as_source,mugla_2021_to_bejis_2022,baseline,brier_score,0.1309666514126394,20,0.13335888782288954,0.12715959791448847,0.13817075450706048,0.1257081136872838,0.140031006463838,-0.0023922364102501497,-0.007204103094420982,0.003807053498150876,-0.0090643550511985,0.0052585377253555,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.0023922364102501315
mugla_as_source,mugla_2021_to_bejis_2022,thermal,roc_auc,0.5831912381443964,20,0.5751138137944383,0.5493823698303116,0.6003840392928576,0.5483763468610878,0.6082502096909477,-0.0080774243499581,-0.03380886831408477,0.01719280114846101,-0.0348148912833086,0.0250589715465512,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.008077424349958173
mugla_as_source,mugla_2021_to_bejis_2022,thermal,pr_auc,0.0882719168819328,20,0.0855171297196224,0.08078467846059821,0.09085313397279907,0.0802914676729683,0.0926189519782691,-0.00275478716231035,-0.0074872384213344875,0.002581217090866275,-0.0079804492089644,0.0043470350963363,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.002754787162310396
mugla_as_source,mugla_2021_to_bejis_2022,thermal,brier_score,0.1107930339544987,20,0.11125447676309111,0.10689844960146837,0.11740660378386333,0.1057993544950214,0.1179419304614491,-0.0004614428085924,-0.006613569829364637,0.003894584353030227,-0.0071488965069504,0.0049936794594772,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.0004614428085924077
mugla_as_target,manavgat_2021_to_mugla_2021,baseline,roc_auc,0.5079294316533508,20,0.5065844850401652,0.4989407330352958,0.5168087459265466,0.4983198656913445,0.5200565508976673,-0.0013449466131855502,-0.008988698618054963,0.008879314273195738,-0.0096095659620062,0.0121271192443165,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.001344946613185627
mugla_as_target,manavgat_2021_to_mugla_2021,baseline,pr_auc,0.0749055111757259,20,0.07528922100005095,0.0728551065428379,0.07768224203355599,0.0725652942073984,0.0778106390017487,0.00038370982432505,-0.0020504046328879526,0.002776730857829987,-0.0023402169683274,0.0029051278260227,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00038370982432504863
mugla_as_target,manavgat_2021_to_mugla_2021,baseline,brier_score,0.1156993972525345,20,0.11590071633474705,0.11453048333431178,0.11688622985054876,0.1142772427221699,0.1168999658496822,-0.00020131908221255002,-0.0011868325980142148,0.0011689139182226769,-0.0012005685971477,0.0014221545303646,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00020131908221254768
mugla_as_target,manavgat_2021_to_mugla_2021,thermal,roc_auc,0.4701598710870077,20,0.46844406714353537,0.46049448892903755,0.4753334126469803,0.4584286257754866,0.4771904293926118,-0.0017158039434723,-0.009665382157970127,0.0051735415599724836,-0.0117312453115211,0.007030558305604,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.001715803943472316
mugla_as_target,manavgat_2021_to_mugla_2021,thermal,pr_auc,0.0626464704650159,20,0.06290512700323765,0.061357670364530936,0.06423187615791999,0.0609384739929053,0.0642732185771975,0.00025865653822175,-0.001288800100484965,0.0015854056929039799,-0.0017079964721106,0.0016267481121815,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00025865653822175483
mugla_as_target,manavgat_2021_to_mugla_2021,thermal,brier_score,0.1046815208105754,20,0.10491261903280044,0.10404924340358884,0.10598001152813268,0.1039332165785753,0.106315068459768,-0.00023109822222495,-0.0012984907175571775,0.0006322774069865622,-0.0016335476491925,0.0007483042320001,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00023109822222504295
mugla_as_target,bejis_2022_to_mugla_2021,baseline,roc_auc,0.5922389820175834,20,0.5921442336292732,0.5881282050108773,0.5939340738063192,0.5879835850648344,0.5940645876573916,-9.474838831020717e-05,-0.004110777006706073,0.001695091788735787,-0.004255396952749,0.0018256056398081,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-9.474838831025068e-05
mugla_as_target,bejis_2022_to_mugla_2021,baseline,pr_auc,0.0936314601740554,20,0.09388472147973975,0.09087309622275641,0.09701584523123823,0.0908543678503495,0.0974258525902758,0.0002532613056843,-0.0027583639512989426,0.0033843850571828363,-0.0027770923237059,0.0037943924162204,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00025326130568435745
mugla_as_target,bejis_2022_to_mugla_2021,baseline,brier_score,0.0898777465781487,20,0.09020011394590816,0.0897855392097769,0.09082983225970655,0.0897639848913385,0.0908546411697403,-0.00032236736775945,-0.00095208568155784,9.220736837170946e-05,-0.0009768945915916,0.0001137616868101,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00032236736775945185
mugla_as_target,bejis_2022_to_mugla_2021,thermal,roc_auc,0.6184747489978263,20,0.6178136439696191,0.6141518797334332,0.6251106611323582,0.6130319735600435,0.6251877986977346,-0.0006611050282071,-0.00432286926439301,0.00663591213453191,-0.0054427754377828,0.0067130496999082,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.000661105028207154
mugla_as_target,bejis_2022_to_mugla_2021,thermal,pr_auc,0.0925385912286984,20,0.0926552195477892,0.09100300551145724,0.09527049627716885,0.0906308680891664,0.0952901857367715,0.00011662831909075001,-0.00153558571724117,0.002731905048470405,-0.001907723139532,0.002751594508073,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00011662831909080296
mugla_as_target,bejis_2022_to_mugla_2021,thermal,brier_score,0.078925903541469,20,0.07920129831232815,0.07869766495706869,0.07977661942911309,0.0786676255015558,0.0798683656075369,-0.00027539477085909995,-0.0008507158876439826,0.0002282385844003124,-0.0009424620660678,0.0002582780399132,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.00027539477085915254
